Pipeline Log - Timestamp: 1757290563
Stage,ItemID,Value,Timestamp
Stage3,24,10.0081,604123 (VALID, latency=0.296158ms)
Stage1,25,9386,604126
Stage1,25,9386,604126
Stage2,25,8.91465,604127
Stage1,26,2124,604129
Stage1,26,2124,604129
Stage2,26,8.30494,604129
Stage1,27,8,604132
Stage1,27,8,604132
Stage2,27,2.28707,604132
Stage1,28,1819,604135
Stage1,28,1819,604135
Stage2,28,7.03548,604135
Stage1,29,9923,604138
Stage1,29,9923,604138
Stage2,29,8.4986,604138
Stage1,30,1835,604141
Stage1,30,1835,604141
Stage2,30,7.1682,604141
Stage1,31,6175,604144
Stage1,31,6175,604144
Stage2,31,8.09159,604144
Stage1,32,3043,604146
Stage1,32,3043,604146
Stage2,32,7.41162,604146
Stage1,33,6117,604149
Stage1,33,6117,604149
Stage2,33,8.01359,604149
Stage1,33,6117,604149
Stage2,33,8.01359,604149
Stage3,33,8.01359,604149 (VALID, latency=0.151699ms)
Stage1,34,5248,604152
Stage1,34,5248,604152
Stage2,34,9.26354,604152
Stage1,35,71,604154
Stage1,35,71,604154
Stage2,35,4.79817,604154
Stage1,36,4320,604156
Stage1,36,4320,604156
Stage2,36,7.91068,604157
Stage1,36,4320,604156
Stage2,36,7.91068,604157
Stage3,36,7.91068,604157 (VALID, latency=0.128275ms)
Stage1,37,231,604159
Stage1,37,231,604159
Stage2,37,6.01891,604159
Stage1,37,231,604159
Stage2,37,6.01891,604159
Stage3,37,6.01891,604159 (VALID, latency=0.098078ms)
Stage1,38,2913,604162
Stage1,38,2913,604162
Stage2,38,7.48839,604162
Stage1,38,2913,604162
Stage2,38,7.48839,604162
Stage3,38,7.48839,604162 (VALID, latency=0.207217ms)
Stage1,39,5248,604165
Stage1,39,5248,604165
Stage2,39,9.21022,604165
Stage1,40,6119,604167
Stage1,40,6119,604167
Stage2,40,8.1057,604167
Stage1,41,3999,604169
Stage1,41,3999,604169
Stage2,41,Stage3,41,8.87394,604169
Stage1,41,3999,604169
Stage2,41,Stage3,41,8.87394,604169
8.87394,604169 (VALID, latency=0.237028ms)
Stage1,42,1395,604172
Stage1,42,1395,604172
Stage2,42,Stage3,7.94057,42,604172
Stage1,42,1395,604172
Stage2,42,Stage3,7.94057,42,604172
7.94057,604172 (VALID, latency=0.105296ms)
Stage1,43,467,604174
Stage1,43,467,604174
Stage2,43,5.52734,604174
Stage1,44,2922,604176
Stage1,44,2922,604176
Stage2,44,7.52215,604176
Stage1,44,2922,604176
Stage2,44,7.52215,604176
Stage3,44,7.52215,604176 (VALID, latency=0.116571ms)
Stage1,45,9738,604179
Stage1,45,9738,604179
Stage2,45,9.29089,604179
Stage1,45,9738,604179
Stage2,45,9.29089,604179
Stage3,45,9.29089,604179 (VALID, latency=0.250162ms)
Stage1,46,3664,604182
Stage1,46,3664,604182
Stage2,46,7.74284,604182
Stage1,47,2328,604185
Stage1,47,2328,604185
Stage2,47,7.2398,604185
Stage1,47,2328,604185
Stage2,47,7.2398,604185
Stage3,47,7.2398,604185 (VALID, latency=0.125937ms)
Stage1,48,4561,604188
Stage1,48,4561,604188
Stage2,48,9.06922,604188
Stage1,49,907,604190
Stage1,49,907,604190
Stage2,49,7.04205,604190
Stage1,50,7852,604192
Stage1,50,7852,604192
Stage2,50,9.07073,604192
Stage1,51,6184,604194
Stage1,51,6184,604194
Stage2,51,8.37354,604195
Stage1,52,1997,604197
Stage1,52,1997,604197
Stage2,52,8.10553,604197
Stage1,53,3825,604199
Stage1,53,3825,604199
Stage2,53,8.5712,604199
Stage1,53,3825,604199
Stage2,53,8.5712,604199
Stage3,53,8.5712,604199 (VALID, latency=0.186127ms)
Stage1,54,5143,604202
Stage1,54,5143,604202
Stage2,54,9.05364,604202
Stage1,55,9833,604204
Stage1,55,9833,604204
Stage2,55,8.92877,604204
Stage1,56,5925,604207
Stage1,56,5925,604207
Stage2,56,8.95291,604207
Stage1,56,5925,604207
Stage2,56,8.95291,604207
Stage3,56,8.95291,604207 (VALID, latency=0.133562ms)
Stage1,57,4668,604210
Stage1,57,4668,604210
Stage2,57,8.6999,604210
Stage1,57,4668,604210
Stage2,57,8.6999,604210
Stage3,57,8.6999,604210 (VALID, latency=0.214408ms)
Stage1,58,465,604214
Stage1,58,465,604214
Stage2,58,5.77631,604214
Stage1,58,465,604214
Stage2,58,5.77631,604214
Stage3,58,5.77631,604214 (VALID, latency=0.113339ms)
Stage1,59,8600,604217
Stage1,59,8600,604217
Stage2,59,8.80324,604217
Stage1,60,6076,604221
Stage1,60,6076,604221
Stage2,60,8.47552,604221
Stage1,60,6076,604221
Stage2,60,8.47552,604221
Stage3,60,8.47552,604221 (VALID, latency=0.207559ms)
Stage1,61,6804,604224
Stage1,61,6804,604224
Stage2,61,8.60858,604224
Stage1,61,6804,604224
Stage2,61,8.60858,604224
Stage3,61,8.60858,604224 (VALID, latency=0.111361ms)
Stage1,62,1706,604227
Stage1,62,1706,604227
Stage2,62,7.1723,604227
Stage1,63,4505,604230
Stage1,63,4505,604230
Stage2,63,8.7518,604230
Stage1,64,651,604232
Stage1,64,651,604232
Stage2,64,6.57816,604232
Stage1,64,651,604232
Stage2,64,6.57816,604232
Stage3,64,6.57816,604232 (VALID, latency=0.129646ms)
Stage1,65,133,604235
Stage1,65,133,604235
Stage2,65,5.18201,604236
Stage1,66,9489,604238
Stage1,66,9489,604238
Stage2,66,9.40658,604238
Stage1,66,9489,604238
Stage2,66,9.40658,604238
Stage3,66,9.40658,604238 (VALID, latency=0.107813ms)
Stage1,67,9423,604241
Stage1,67,9423,604241
Stage2,67,9.24655,604241
Stage1,67,9423,604241
Stage2,67,9.24655,604241
Stage3,67,9.24655,604241 (VALID, latency=0.170496ms)
Stage1,68,9657,604244
Stage1,68,9657,604244
Stage2,68,9.42921,604244
Stage1,68,9657,604244
Stage2,68,9.42921,604244
Stage3,68,9.42921,604244 (VALID, latency=0.099456ms)
Stage1,69,5633,604246
Stage1,69,5633,604246
Stage2,69,8.67372,604246
Stage1,70,8084,604248
Stage1,70,8084,604248
Stage2,70,8.96368,604248
Stage1,71,3855,604251
Stage1,71,3855,604251
Stage2,71,8.43629,604251
Stage1,71,3855,604251
Stage2,71,8.43629,604251
Stage3,71,8.43629,604251 (VALID, latency=0.138437ms)
Stage1,72,3047,604253
Stage1,72,3047,604253
Stage2,72,7.97597,604253
Stage1,73,160,604256
Stage1,73,160,604256
Stage2,73,5.21691,604256
Stage1,74,977,604258
Stage1,74,977,604258
Stage2,74,6.89306,604258
Stage1,75,2309,604261
Stage1,75,2309,604261
Stage2,75,7.73492,604261
Stage1,76,6843,604263
Stage1,76,6843,604263
Stage2,76,8.88467,604263
Stage1,76,6843,604263
Stage2,76,8.88467,604263
Stage3,76,8.88467,604263 (VALID, latency=0.097203ms)
Stage1,77,2411,604266
Stage1,77,2411,604266
Stage2,77,7.81581,604266
Stage1,78,4402,604268
Stage1,78,4402,604268
Stage2,78,8.46043,604268
Stage1,79,6833,604270
Stage1,79,6833,604270
Stage2,79,8.92178,604271
Stage1,80,1221,604273
Stage1,80,1221,604273
Stage2,80,7.15976,604273
Stage1,80,1221,604273
Stage2,80,7.15976,604273
Stage3,80,7.15976,604273 (VALID, latency=0.131974ms)
Stage1,81,6100,604276
Stage1,81,6100,604276
Stage2,81,8.84494,604276
Stage1,82,4952,604278
Stage1,82,4952,604278
Stage2,82,8.62846,604278
Stage1,83,8332,604280
Stage1,83,8332,604280
Stage2,83,9.03306,604280
Stage1,84,344,604283
Stage1,84,344,604283
Stage2,84,5.90417,604283
Stage1,85,1734,604285
Stage1,85,1734,604285
Stage2,85,7.63453,604285
Stage1,85,1734,604285
Stage2,85,7.63453,604285
Stage3,85,7.63453,604285 (VALID, latency=0.11379ms)
Stage1,86,9094,604287
Stage1,86,9094,604287
Stage2,86,9.18883,604288
Stage1,87,3911,604289
Stage1,87,3911,604289
Stage2,87,8.17193,604289
Stage1,88,2588,604291
Stage1,88,2588,604291
Stage2,88,7.78671,604291
Stage1,89,1823,604293
Stage1,89,1823,604293
Stage2,89,7.67748,604294
Stage1,90,6626,604296
Stage1,90,6626,604296
Stage2,90,8.94752,604296
Stage1,91,7554,604298
Stage1,91,7554,604298
Stage2,91,8.98484,604298
Stage1,92,3118,604300
Stage1,92,3118,604300
Stage2,92,8.16753,604300
Stage1,93,4252,604303
Stage1,93,4252,604303
Stage2,93,8.70779,604303
Stage1,94,5201,604305
Stage1,94,5201,604305
Stage2,94,8.33256,604305
Stage1,94,5201,604305
Stage2,94,8.33256,604305
Stage3,94,8.33256,604305 (VALID, latency=0.170513ms)
Stage1,95,2080,604308
Stage1,95,2080,604308
Stage2,95,7.39104,604308
Stage1,96,5468,604310
Stage1,96,5468,604310
Stage2,96,9.01116,604310
Stage1,97,5678,604313
Stage1,97,5678,604313
Stage2,97,8.64037,604313
Stage1,98,1849,604315
Stage1,98,1849,604315
Stage2,98,7.70482,604315
Stage1,99,314,604317
Stage1,99,314,604317
Stage2,99,5.77997,604317
Stage1,100,9696,604320
Stage1,100,9696,604320
Stage2,100,9.10729,604320
Stage1,100,9696,604320
Stage2,100,9.10729,604320
Stage3,100,9.10729,604320 (VALID, latency=0.108626ms)
Stage1,101,8423,604322
Stage1,101,8423,604322
Stage2,101,8.89061,604322
Stage1,102,7752,604325
Stage1,102,7752,604325
Stage2,102,8.6614,604325
Stage1,102,7752,604325
Stage2,102,8.6614,604325
Stage3,102,8.6614,604325 (VALID, latency=0.126811ms)
Stage1,103,4498,604328
Stage1,103,4498,604328
Stage2,103,8.08743,604328
Stage1,104,9395,604330
Stage1,104,9395,604330
Stage2,104,9.39053,604330
Stage1,105,3952,604332
Stage1,105,3952,604332
Stage2,105,7.85977,604332
Stage1,106,8949,604334
Stage1,106,8949,604334
Stage2,106,8.67513,604334
Stage1,106,8949,604334
Stage2,106,8.67513,604334
Stage3,106,8.67513,604334 (VALID, latency=0.096386ms)
Stage1,107,9267,604337
Stage1,107,9267,604337
Stage2,107,9.77209,604337
Stage1,107,9267,604337
Stage2,107,9.77209,604337
Stage3,107,9.77209,604337 (VALID, latency=0.156587ms)
Stage1,108,5979,604341
Stage1,108,5979,604341
Stage2,108,8.83198,604341
Stage1,108,5979,604341
Stage2,108,8.83198,604341
Stage3,108,8.83198,604341 (VALID, latency=0.16261ms)
Stage1,109,7273,604344
Stage1,109,7273,604344
Stage2,109,9.24107,604344
Stage1,109,7273,604344
Stage2,109,9.24107,604344
Stage3,109,9.24107,604344 (VALID, latency=0.242771ms)
Stage1,110,9219,604346
Stage1,110,9219,604346
Stage2,110,9.74779,604346
Stage1,110,9219,604346
Stage2,110,9.74779,604346
Stage3,110,9.74779,604346 (VALID, latency=0.247249ms)
Stage1,111,3266,604349
Stage1,111,3266,604349
Stage2,111,7.58037,604349
Stage1,112,885,604351
Stage1,112,885,604351
Stage2,112,6.48646,604351
Stage1,112,885,604351
Stage2,112,6.48646,604351
Stage3,112,6.48646,604351 (VALID, latency=0.273119ms)
Stage1,113,5705,604354
Stage1,113,5705,604354
Stage2,113,8.4224,604354
Stage1,113,5705,604354
Stage2,113,8.4224,604354
Stage3,113,8.4224,604354 (VALID, latency=0.281072ms)
Stage1,114,1960,604357
Stage1,114,1960,604357
Stage2,114,7.1866,604357
Stage1,114,1960,604357
Stage2,114,7.1866,604357
Stage3,114,7.1866,604357 (VALID, latency=0.150319ms)
Stage1,115,5209,604360
Stage1,115,5209,604360
Stage2,115,7.98892,604360
Stage1,116,453,604362
Stage1,116,453,604362
Stage2,116,Stage3,116,6.81834,604362
6.81834,604362 (VALID, latency=0.218997ms)
Stage1,116,453,604362
Stage2,116,Stage3,116,6.81834,604362
Stage1,117,9612,604364
Stage1,117,9612,604364
Stage2,117,8.60721,604365
Stage1,118,3254,604367
Stage1,118,3254,604367
Stage2,118,7.50903,604367
Stage1,119,8446,604369
Stage1,119,8446,604369
Stage2,119,8.87915,604369
Stage1,120,3887,604372
Stage1,120,3887,604372
Stage2,120,7.65263,604372
Stage1,121,7474,604374
Stage1,121,7474,604374
Stage2,121,9.46785,604374
Stage1,122,2714,604376
Stage1,122,2714,604376
Stage2,122,7.27097,604376
Stage1,123,5397,604378
Stage1,123,5397,604378
Stage2,123,Stage3,123,.08498,604378
Stage1,123,5397,604378
Stage2,123,Stage3,123,.08498,604378
9.08498,604378 (VALID, latency=0.161905ms)
Stage1,124,8288,604381
Stage1,124,8288,604381
Stage2,124,8.38142,604381
Stage1,124,8288,604381
Stage2,124,8.38142,604381
Stage3,124,8.38142,604381 (VALID, latency=0.12591ms)
Stage1,125,5868,604383
Stage1,125,5868,604383
Stage2,125,8.07867,604383
Stage1,125,5868,604383
Stage2,125,8.07867,604383
Stage3,125,8.07867,604383 (VALID, latency=0.245723ms)
Stage1,126,3568,604386
Stage1,126,3568,604386
Stage2,126,8.97639,604386
Stage1,127,9653,604388
Stage1,127,9653,604388
Stage2,127,8.65142,604389
Stage1,127,9653,604388
Stage2,127,8.65142,604389
Stage3,127,8.65142,604389 (VALID, latency=0.148022ms)
Stage1,128,2810,604391
Stage1,128,2810,604391
Stage2,128,7.85383,604391
Stage1,129,6071,604393
Stage1,129,6071,604393
Stage2,129,9.5136,604393
Stage1,130,5427,604396
Stage1,130,5427,604396
Stage2,130,9.32731,604396
Stage1,131,2760,604398
Stage1,131,2760,604398
Stage2,131,7.43903,604398
Stage1,131,2760,604398
Stage2,131,7.43903,604398
Stage3,131,7.43903,604398 (VALID, latency=0.176237ms)
Stage1,132,1410,604401
Stage1,132,1410,604401
Stage2,132,6.41941,604401
Stage1,132,1410,604401
Stage2,132,6.41941,604401
Stage3,132,6.41941,604401 (VALID, latency=0.266611ms)
Stage1,133,2963,604404
Stage1,133,2963,604404
Stage2,133,8.91892,604404
Stage1,134,8022,604406
Stage1,134,8022,604406
Stage2,134,9.97236,604406
Stage1,134,8022,604406
Stage2,134,9.97236,604406
Stage3,134,9.97236,604406 (VALID, latency=0.140438ms)
Stage1,135,1653,604409
Stage1,135,1653,604409
Stage2,135,8.1195,604409
Stage1,135,1653,604409
Stage2,135,8.1195,604409
Stage3,135,8.1195,604409 (VALID, latency=0.125818ms)
Stage1,136,746,604411
Stage1,136,746,604411
Stage2,136,5.80858,604411
Stage1,137,157,604414
Stage1,137,157,604414
Stage2,137,4.16707,604414
Stage1,138,9869,604416
Stage1,138,9869,604416
Stage2,138,10.1935,604416
Stage1,139,4235,604418
Stage1,139,4235,604418
Stage2,139,9.35372,604418
Stage1,139,4235,604418
Stage2,139,9.35372,604418
Stage3,139,9.35372,604418 (VALID, latency=0.202446ms)
Stage1,140,7723,604421
Stage1,140,7723,604421
Stage2,140,8.13244,604421
Stage1,141,3949,604423
Stage1,141,3949,604423
Stage2,141,7.42229,604423
Stage1,142,1988,604425
Stage1,142,1988,604425
Stage2,142,6.82635,604425
Stage1,142,1988,604425
Stage2,142,6.82635,604425
Stage3,142,6.82635,604425 (VALID, latency=0.103369ms)
Stage1,143,2935,604428
Stage1,143,2935,604428
Stage2,143,8.88861,604428
Stage1,144,56,604430
Stage1,144,56,604430
Stage2,144,3.55252,604430
Stage1,144,56,604430
Stage2,144,3.55252,604430
Stage3,144,3.55252,604430 (VALID, latency=0.28348ms)
Stage1,145,141,604433
Stage1,145,141,604433
Stage2,145,4.02196,604433
Stage1,145,141,604433
Stage2,145,4.02196,604433
Stage3,145,4.02196,604433 (VALID, latency=0.127685ms)
Stage1,146,8155,604435
Stage1,146,8155,604435
Stage2,146,9.22735,604435
Stage1,146,8155,604435
Stage2,146,9.22735,604435
Stage3,146,9.22735,604435 (VALID, latency=0.127549ms)
Stage1,147,1989,604438
Stage1,147,1989,604438
Stage2,147,6.80053,604438
Stage1,147,1989,604438
Stage2,147,6.80053,604438
Stage3,147,6.80053,604438 (VALID, latency=0.128484ms)
Stage1,148,7069,604441
Stage1,148,7069,604441
Stage2,148,7.96705,604441
Stage1,149,7114,604443
Stage1,149,7114,604443
Stage2,149,8.07028,604443
Stage1,150,7291,604445
Stage1,150,7291,604445
Stage2,150,9.58456,604445
Stage1,151,7902,604447
Stage1,151,7902,604447
Stage2,151,9.52518,604447
Stage1,151,7902,604447
Stage2,151,9.52518,604447
Stage3,151,9.52518,604447 (VALID, latency=0.104428ms)
Stage1,152,7713,604450
Stage1,152,7713,604450
Stage2,152,8.05942,604450
Stage1,152,7713,604450
Stage2,152,8.05942,604450
Stage3,152,8.05942,604450 (VALID, latency=0.098521ms)
Stage1,153,6060,604452
Stage1,153,6060,604452
Stage2,153,9.57732,604452
Stage1,153,6060,604452
Stage2,153,9.57732,604452
Stage3,153,9.57732,604452 (VALID, latency=0.140515ms)
Stage1,154,741,604455
Stage1,154,741,604455
Stage2,154,5.74299,604455
Stage1,154,741,604455
Stage2,154,5.74299,604455
Stage3,154,5.74299,604455 (VALID, latency=0.102263ms)
Stage1,155,9264,604457
Stage1,155,9264,604457
Stage2,155,10.2313,604457
Stage1,155,9264,604457
Stage2,155,10.2313,604457
Stage3,155,10.2313,604457 (VALID, latency=0.081785ms)
Stage1,156,3585,604460
Stage1,156,3585,604460
Stage2,156,9.20996,604460
Stage1,157,6511,604462
Stage1,157,6511,604462
Stage2,157,8.10503,604462
Stage1,158,1159,604464
Stage1,158,1159,604464
Stage2,158,7.92507,604464
Stage1,159,9150,604466
Stage1,159,9150,604466
Stage2,159,9.60327,604466
Stage1,159,9150,604466
Stage2,159,9.60327,604466
Stage3,159,9.60327,604466 (VALID, latency=0.152414ms)
Stage1,160,8632,604469
Stage1,160,8632,604469
Stage2,160,10.1545,604469
Stage1,161,8501,604471
Stage1,161,8501,604471
Stage2,161,9.32825,604471
Stage1,162,6233,604473
Stage1,162,6233,604473
Stage2,162,9.29853,604473
Stage1,163,4495,604475
Stage1,163,4495,604475
Stage2,163,7.66377,604475
Stage1,164,3309,604476
Stage1,164,3309,604476
Stage2,164,7.18121,604477
Stage1,164,3309,604476
Stage2,164,7.18121,604477
Stage3,164,7.18121,604477 (VALID, latency=0.132044ms)
Stage1,165,955,604479
Stage1,165,955,604479
Stage2,165,7.02404,604479
Stage1,166,636,604481
Stage1,166,636,604481
Stage2,166,6.41466,604481
Stage1,166,636,604481
Stage2,166,6.41466,604481
Stage3,166,6.41466,604481 (VALID, latency=0.119949ms)
Stage1,167,3709,604484
Stage1,167,3709,604484
Stage2,167,8.84454,604484
Stage1,168,3110,604486
Stage1,168,3110,604486
Stage2,168,8.40605,604486
Stage1,169,6689,604488
Stage1,169,6689,604488
Stage2,169,9.6642,604488
Stage1,170,3252,604490
Stage1,170,3252,604490
Stage2,170,7.28514,604490
Stage1,170,3252,604490
Stage2,170,7.28514,604490
Stage3,170,7.28514,604490 (VALID, latency=0.092369ms)
Stage1,171,6660,604492
Stage1,171,6660,604492
Stage2,171,9.4524,604492
Stage1,171,6660,604492
Stage2,171,9.4524,604492
Stage3,171,9.4524,604492 (VALID, latency=0.101112ms)
Stage1,172,7297,604494
Stage1,172,7297,604494
Stage2,172,9.6091,604494
Stage1,173,5913,604495
Stage1,173,5913,604495
Stage2,173,8.26044,604496
Stage1,173,5913,604495
Stage2,173,8.26044,604496
Stage3,173,8.26044,604496 (VALID, latency=0.12214ms)
Stage1,174,6376,604498
Stage1,174,6376,604498
Stage2,174,8.08824,604498
Stage1,175,2748,604501
Stage1,175,2748,604501
Stage2,175,7.30786,604501
Stage1,175,2748,604501
Stage2,175,7.30786,604501
Stage3,175,7.30786,604501 (VALID, latency=0.090054ms)
Stage1,176,8873,604503
Stage1,176,8873,604503
Stage2,176,8.54387,604503
Stage1,177,5613,604506
Stage1,177,5613,604506
Stage2,177,9.08588,604506
Stage1,177,5613,604506
Stage2,177,9.08588,604506
Stage3,177,9.08588,604506 (VALID, latency=0.110291ms)
Stage1,178,4723,604508
Stage1,178,4723,604508
Stage2,178,8.62943,604508
Stage1,179,3830,604510
Stage1,179,3830,604510
Stage2,179,7.80474,604510
Stage1,180,1196,604512
Stage1,180,1196,604512
Stage2,180,7.63965,604512
Stage1,181,9718,604514
Stage1,181,9718,604514
Stage2,181,9.0984,604514
Stage1,182,7133,604517
Stage1,182,7133,604517
Stage2,182,8.25765,604517
Stage1,183,8490,604519
Stage1,183,8490,604519
Stage2,183,9.20838,604519
Stage1,183,8490,604519
Stage2,183,9.20838,604519
Stage3,183,9.20838,604519 (VALID, latency=0.117265ms)
Stage1,184,7608,604521
Stage1,184,7608,604521
Stage2,184,8.48609,604521
Stage1,184,7608,604521
Stage2,184,8.48609,604521
Stage3,184,8.48609,604521 (VALID, latency=0.05419ms)
Stage1,185,7218,604523
Stage1,185,7218,604523
Stage2,185,8.90738,604523
Stage1,185,7218,604523
Stage2,185,8.90738,604523
Stage3,185,8.90738,604523 (VALID, latency=0.045686ms)
Stage1,186,5613,604524
Stage1,186,5613,604524
Stage2,186,9.05159,604524
Stage1,186,5613,604524
Stage2,186,9.05159,604524
Stage3,186,9.05159,604524 (VALID, latency=0.044553ms)
Stage1,187,2360,604526
Stage1,187,2360,604526
Stage2,187,8.64588,604526
Stage1,188,7710,604528
Stage1,188,7710,604528
Stage2,188,8.23317,604528
Stage1,188,7710,604528
Stage2,188,8.23317,604528
Stage3,188,8.23317,604528 (VALID, latency=0.066717ms)
Stage1,189,2561,604530
Stage1,189,2561,604530
Stage2,189,7.53493,604530
Stage1,190,4938,604531
Stage1,190,4938,604531
Stage2,190,9.19101,604531
Stage1,190,4938,604531
Stage2,190,9.19101,604531
Stage3,190,9.19101,604531 (VALID, latency=0.066456ms)
Stage1,191,405,604533
Stage1,191,405,604533
Stage2,191,6.64994,604533
Stage1,191,405,604533
Stage2,191,6.64994,604533
Stage3,191,6.64994,604533 (VALID, latency=0.079645ms)
Stage1,192,5228,604535
Stage1,192,5228,604535
Stage2,192,7.94593,604535
Stage1,193,7107,604536
Stage1,193,7107,604536
Stage2,193,8.2582,604536
Stage1,193,7107,604536
Stage2,193,8.2582,604536
Stage3,193,8.2582,604536 (VALID, latency=0.042513ms)
Stage1,194,4276,604541
Stage1,194,4276,604541
Stage2,194,9.12517,604541
Stage1,195,1109,604542
Stage1,195,1109,604542
Stage2,195,7.77476,604543
Stage1,196,255,604544
Stage1,196,255,604544
Stage2,196,5.175,604544
Stage1,196,255,604544
Stage2,196,5.175,604544
Stage3,196,5.175,604544 (VALID, latency=0.103295ms)
Stage1,197,4394,604546
Stage1,197,4394,604546
Stage2,197,8.48765,604546
Stage1,198,1079,604548
Stage1,198,1079,604548
Stage2,198,7.69327,604548
Stage1,199,2018,604549
Stage1,199,2018,604549
Stage2,199,7.01102,604549
Stage1,200,315,604551
Stage1,200,315,604551
Stage2,200,5.78929,604551
Stage1,200,315,604551
Stage2,200,5.78929,604551
Stage3,200,5.78929,604551 (VALID, latency=0.109113ms)
Stage1,201,8958,604554
Stage1,201,8958,604554
Stage2,201,8.55991,604554
Stage1,201,8958,604554
Stage2,201,8.55991,604554
Stage3,201,8.55991,604554 (VALID, latency=0.262438ms)
Stage1,202,6365,604556
Stage1,202,6365,604556
Stage2,202,8.38695,604556
Stage1,203,4754,604558
Stage1,203,4754,604558
Stage2,203,8.78479,604558
Stage1,204,3144,604560
Stage1,204,3144,604560
Stage2,204,8.09966,604560
Stage1,204,3144,604560
Stage2,204,8.09966,604560
Stage3,204,8.09966,604560 (VALID, latency=0.127319ms)
Stage1,205,5633,604563
Stage1,205,5633,604563
Stage2,205,8.83956,604563
Stage1,206,5086,604565
Stage1,206,5086,604565
Stage2,206,8.29642,604565
Stage1,207,6956,604566
Stage1,207,6956,604566
Stage2,207,8.7007,604567
Stage1,208,9076,604568
Stage1,208,9076,604568
Stage2,208,9.0333,604568
Stage1,209,1394,604572
Stage1,209,1394,604572
Stage2,209,6.78628,604572
Stage1,210,2493,604573
Stage1,210,2493,604573
Stage2,210,7.975,604573
Stage1,210,2493,604573
Stage2,210,7.975,604573
Stage3,210,7.975,604573 (VALID, latency=0.094939ms)
Stage1,211,6045,604577
Stage1,211,6045,604577
Stage2,211,9.11362,604577
Stage1,211,6045,604577
Stage2,211,9.11362,604577
Stage3,211,9.11362,604577 (VALID, latency=0.125062ms)
Stage1,212,4104,604580
Stage1,212,4104,604580
Stage2,212,8.47786,604580
Stage1,212,4104,604580
Stage2,212,8.47786,604580
Stage3,212,8.47786,604580 (VALID, latency=0.064314ms)
Stage1,213,5399,604582
Stage1,213,5399,604582
Stage2,213,8.91155,604582
Stage1,214,7556,604585
Stage1,214,7556,604585
Stage2,214,8.95247,604585
Stage1,215,2031,604587
Stage1,215,2031,604587
Stage2,215,7.26864,604587
Stage1,215,2031,604587
Stage2,215,7.26864,604587
